RAST_GENE_ID	NCBI_GENE_ID
fiG|1005566.5.peG.1484	ybiR
fiG|1005566.5.peG.1485	ybiS
fiG|1005566.5.peG.1486	ybiT
fiG|1005566.5.peG.1487	ybiU
fiG|1005566.5.peG.1488	ybiV
fiG|1005566.5.peG.1489	ybiW
fiG|1005566.5.peG.149	hemN
fiG|1005566.5.peG.1490	ybiY
fiG|1005566.5.peG.1491	fsaA
fiG|1005566.5.peG.1492	moeB
fiG|1005566.5.peG.1493	moeA
fiG|1005566.5.peG.1494	iaaA
fiG|1005566.5.peG.1495	yliA
fiG|1005566.5.peG.1496	yliB
fiG|1005566.5.peG.1497	yliC
fiG|1005566.5.peG.1498	yliD
fiG|1005566.5.peG.1499	yliE
fiG|1005566.5.peG.15	yieK
fiG|1005566.5.peG.150	glnG
fiG|1005566.5.peG.1500	yliF
fiG|1005566.5.peG.1501	yliG
fiG|1005566.5.peG.1502	yliH
fiG|1005566.5.peG.1503	yliI
fiG|1005566.5.peG.1504	yliJ
fiG|1005566.5.peG.1505	dacC
fiG|1005566.5.peG.1506	deoR
fiG|1005566.5.peG.1507	ybjG
fiG|1005566.5.peG.1508	cmr
fiG|1005566.5.peG.1509	ybjH
fiG|1005566.5.peG.151	glnL
fiG|1005566.5.peG.1510	ybjI
fiG|1005566.5.peG.1511	ybjJ
fiG|1005566.5.peG.1512	ybjK
fiG|1005566.5.peG.1513	ybjL
fiG|1005566.5.peG.1514	ybjM
fiG|1005566.5.peG.1515	grxA
fiG|1005566.5.peG.1516	ybjC
fiG|1005566.5.peG.1517	nfsA
fiG|1005566.5.peG.1518	rimK
fiG|1005566.5.peG.1519	ybjN
fiG|1005566.5.peG.152	glnA
fiG|1005566.5.peG.1520	NA
fiG|1005566.5.peG.1521	potF
fiG|1005566.5.peG.1522	potG
fiG|1005566.5.peG.1523	potH
fiG|1005566.5.peG.1524	potI
fiG|1005566.5.peG.1525	ybjO
fiG|1005566.5.peG.1526	rumB
fiG|1005566.5.peG.1527	artJ
fiG|1005566.5.peG.1528	artM
fiG|1005566.5.peG.1529	artQ
fiG|1005566.5.peG.153	bipA
fiG|1005566.5.peG.1530	artI
fiG|1005566.5.peG.1531	NA
fiG|1005566.5.peG.1532	ybjP
fiG|1005566.5.peG.1533	ybjQ
fiG|1005566.5.peG.1534	ybjR
fiG|1005566.5.peG.1535	ybjS
fiG|1005566.5.peG.1536	ybjT
fiG|1005566.5.peG.1537	ltaE
fiG|1005566.5.peG.1538	poxB
fiG|1005566.5.peG.1539	hcr
fiG|1005566.5.peG.154	yihL
fiG|1005566.5.peG.1540	hcp
fiG|1005566.5.peG.1541	ybjE
fiG|1005566.5.peG.1542	aqpZ
fiG|1005566.5.peG.1543	ybjD
fiG|1005566.5.peG.1544	ybjX
fiG|1005566.5.peG.1545	macA
fiG|1005566.5.peG.1546	macB
fiG|1005566.5.peG.1547	cspD
fiG|1005566.5.peG.1548	clpS
fiG|1005566.5.peG.1549	clpA
fiG|1005566.5.peG.155	yihM
fiG|1005566.5.peG.1550	infA
fiG|1005566.5.peG.1551	aat
fiG|1005566.5.peG.1552	cydC
fiG|1005566.5.peG.1553	cydD
fiG|1005566.5.peG.1554	trxB
fiG|1005566.5.peG.1555	NA
fiG|1005566.5.peG.1556	lrp
fiG|1005566.5.peG.1557	ftsK
fiG|1005566.5.peG.1558	lolA
fiG|1005566.5.peG.1559	ycaJ
fiG|1005566.5.peG.156	yihN
fiG|1005566.5.peG.1560	serS
fiG|1005566.5.peG.1561	dmsA
fiG|1005566.5.peG.1562	dmsB
fiG|1005566.5.peG.1563	dmsC
fiG|1005566.5.peG.1564	ycaC
fiG|1005566.5.peG.1565	ycaD
fiG|1005566.5.peG.1566	NA
fiG|1005566.5.peG.1567	ycaN
fiG|1005566.5.peG.1568	ycaK
fiG|1005566.5.peG.1569	pflA
fiG|1005566.5.peG.157	ompL
fiG|1005566.5.peG.1570	pflB
fiG|1005566.5.peG.1571	focA
fiG|1005566.5.peG.1572	ycaO
fiG|1005566.5.peG.1573	ycaP
fiG|1005566.5.peG.1574	serC
fiG|1005566.5.peG.1575	aroA
fiG|1005566.5.peG.1576	ycaL
fiG|1005566.5.peG.1577	cmk
fiG|1005566.5.peG.1578	rpsA
fiG|1005566.5.peG.1579	ihfB
fiG|1005566.5.peG.158	yihO
fiG|1005566.5.peG.1580	ycaI
fiG|1005566.5.peG.1581	msbA
fiG|1005566.5.peG.1582	lpxK
fiG|1005566.5.peG.1583	ycaQ
fiG|1005566.5.peG.1584	ycaR
fiG|1005566.5.peG.1585	kdsB
fiG|1005566.5.peG.1586	ycbJ
fiG|1005566.5.peG.1587	ycbC
fiG|1005566.5.peG.1588	smtA
fiG|1005566.5.peG.1589	mukF
fiG|1005566.5.peG.159	yihP
fiG|1005566.5.peG.1590	mukE
fiG|1005566.5.peG.1591	mukB
fiG|1005566.5.peG.1592	ycbB
fiG|1005566.5.peG.1593	ycbK
fiG|1005566.5.peG.1594	ycbL
fiG|1005566.5.peG.1595	aspC
fiG|1005566.5.peG.1596	NA
fiG|1005566.5.peG.1597	ompF
fiG|1005566.5.peG.1598	NA
fiG|1005566.5.peG.1599	asnS
fiG|1005566.5.peG.16	yieL
fiG|1005566.5.peG.160	yihQ
fiG|1005566.5.peG.1600	pncB
fiG|1005566.5.peG.1601	pepN
fiG|1005566.5.peG.1602	ssuB
fiG|1005566.5.peG.1603	ssuC
fiG|1005566.5.peG.1604	ssuD
fiG|1005566.5.peG.1605	ssuA
fiG|1005566.5.peG.1606	ssuE
fiG|1005566.5.peG.1607	ycbQ
fiG|1005566.5.peG.1608	ycbR
fiG|1005566.5.peG.1609	ycbS
fiG|1005566.5.peG.161	yihR
fiG|1005566.5.peG.1610	ycbT
fiG|1005566.5.peG.1611	ycbU
fiG|1005566.5.peG.1612	ycbV
fiG|1005566.5.peG.1613	NA
fiG|1005566.5.peG.1614	ycbF
fiG|1005566.5.peG.1615	pyrD
fiG|1005566.5.peG.1616	ycbW
